Groupe 1;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;14.9;22.7;22.8;13.4;25.6;0.6
Femmes;12.0;17.1;22.2;16.3;32.1;0.4
Ensemble;13.4;19.8;22.5;14.9;28.9;0.5
Groupe 2;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;16.6;22.8;20.5;16.5;23.4;0.2
Femmes;15.0;17.6;20.3;20.3;26.6;0.2
Ensemble;15.8;20.2;20.4;18.4;25.0;0.2
Groupe 3;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;22.6;35.4;13.9;12.0;15.8;0.3
Femmes;24.0;28.5;16.6;15.1;15.5;0.3
Ensemble;23.3;31.9;15.3;13.6;15.6;0.3
Groupe 4;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;30.8;34.6;12.5;8.5;13.3;0.2
Femmes;38.5;24.9;14.4;11.9;10.3;0.2
Ensemble;34.8;29.5;13.5;10.3;11.7;0.2
Groupe 5;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;21.3;29.0;17.4;12.6;19.4;0.3
Femmes;22.5;22.2;18.3;15.9;20.9;0.3
Ensemble;21.9;25.5;17.8;14.3;20.2;0.3
Groupe 6;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;14.9;22 7;22.8;13.4;25.6;0.6
Femmes;12.0;17.1;22.2;16.3;32.1;0.4
Ensemble;13.4;19.8;22.5;14.9;28.9;0.5
Groupe 7;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;21.3;29.0;17.4;12.6;19.4;0.3
Femmes;22.5;22.2;18.3;15.9;20.9;0.3
Ensemble;21.9;25.5;17.8;14.3;20.2;0.3
Groupe 8;Sans diplôme, CEP, brevet des collègues;CAP, BEP;Baccalauréat;Bac+2;Diplôme supérieur à BAC + 2;Non déterminé
Hommes;30.8;34.6;12.5;8.5;13.3;0.2
Femmes;38.5;24.9;14.4;11.9;10.3;0.2
Ensemble;34.8;29.5;13.5;10.3;11.7;0.2
