Groupe 1;Etudiants/ lycéens;Salariés;Indépendants;Chômeurs;Retraités
Sommeil;550;485;474;525;518
Etudes;220;1;0;0;0
Jeux/ Internet;107;33;13;66;36
Lecture;8;9;10;9;39
Groupe 2;Etudiantes\n lycéennes;Salariés;Indépendants;Chômeuses;Retraités
Ménage/ cuisine/ linge/ courses..;71;156;157;234;227
Sport;9;7;7;5;4
Lecture;10;14;18;12;36
Jardinage soins aux animaux;7;9;14;12;22
Groupe 3;Etudiants/ lycéens;Salariés;Indépendants;Chômeurs;Retraités
Travail professionnel;33;303;408;38;10
Sommeil;550;485;474;525;518
Trajets domicile-travail/études;31;45;47;9;1
Télévision;87;112;83;159;187
Groupe 4;Etudiantes/ lycéennes;Salariés;Indépendants;Chômeuses;Retraités
Télévision;79;87;70;142;187
Jeux /Internet;52;18;11;38;27
Conversations/ téléphone/ courrier;39;19;21;23;20
Sommeil;550;485;474;525;518
Groupe 5;Etudiants/ lycéens;Salariés;Indépendants;Chômeurs;Retraités
Ménage/ cuisine/ linge/; courses...;40;71;52;136;116
Toilette soins;49;53;51;56;67
Promenade;9;10;10;25;30
Sport;30;14;10;19;10
Groupe 6;Etudiantes/ lycéennes;Salariés;Indépendants;Chômeuses;Retraités
Sommeil;539;485;497;527;529
Travail professionnel;24;247;275;13;3
Promenade;18;12;10;19;24
Sport;9;7;7;5;4
Groupe 7;Etudiants/ lycéens;Salariés;Indépendants;Chômeurs;Retraités
Sommeil;550;485;474;525;518
Etudes;220;1;0;0;0
Jeux Internet;107;33;13;66;36
Lecture;8;9;10;9;39
