Groupe 1,1930,1940,1950,1960,1970,1980,1990,2000
Adèle,74,177,276,449,587,757,499,1297
Kevin,1101,3450,11475,7644,3916,1624,539,208
Léa,168,620,2193,5507,10686,6640,3406,3100
Groupe 2,1930,1940,1950,1960,1970,1980,1990,2000
Bernard,6588,8629,18356,7545,1485,262,95,33
Isabelle,381,241,919,9922,16541,4591,832,181
Lucas,6,3,10,8,39,82,1331,8302
Groupe 3,1980,1985,1990,1995,2000,2005,2010,2015
Dylan,12,47,328,6370,3926,2027,1145,586
Kevin,1101,3450,11475,7644,3916,1624,539,208
Kelly,243,326,1076,1267,741,474,375,245
Groupe 4,1980,1985,1990,1995,2000,2005,2010,2015
Abdelkader,232,213,110,96,97,88,72,62
Abdallah,49,48,35,34,68,137,184,303
Abdoulaye,35,55,56,42,77,97,100,136
Groupe 5,1940,1950,1960,1970,1980,1990,2000,2010
Claude,11583,10562,5114,1731,502,143,64,19
Françoise,3548,5314,5464,3829,3669,2296,923,134
Emma,72,51,40,35,156,433,6867,6401
Groupe 6,1965,1970,1975,1980,1985,1990,1995,2000
Catherine,16458,9997,3612,1749,817,356,211,167
Christelle,1609,10065,8613,4905,3328,1160,420,158
Chloé,5,25,112,427,1111,2520,4222,7202
Groupe 7,1980,1985,1990,1995,2000,2005,2010,2015
Dylan,12,47,328,6370,3926,2027,1145,586
Kevin,1101,3450,11475,7644,3916,1624,539,208
Kelly,243,326,1076,1267,741,474,375,245
